snapshot_date,product_id,store_id,qty_on_hand,qty_reserved
2025-09-01,23,1,137,13
2025-09-01,23,4,142,15
2025-09-01,23,5,143,17
2025-09-01,25,3,14,5
2025-09-01,25,5,132,9
2025-09-01,25,10,101,12
2025-09-01,26,9,75,10
2025-09-01,27,10,66,2
2025-09-01,28,1,56,7
2025-09-01,28,7,55,18
2025-09-01,28,8,48,15
2025-09-01,29,3,27,3
2025-09-01,29,5,126,19
2025-09-01,29,6,138,1
2025-09-01,29,8,80,15
2025-09-01,30,1,70,15
2025-09-01,30,10,2,0
2025-11-01,1,1,97,18
2025-11-01,1,4,67,7
2025-11-01,2,2,60,17
2025-11-01,2,3,97,6
2025-11-01,2,4,38,15
2025-11-01,2,10,143,18
2025-11-01,3,8,50,18
2025-11-01,4,4,37,5
2025-11-01,4,5,86,13
2025-11-01,4,8,41,10
2025-11-01,4,9,81,20
2025-11-01,4,10,68,19
2025-11-01,5,4,133,14
2025-11-01,5,5,47,0
2025-11-01,5,6,60,8
2025-11-01,6,1,101,16
2025-11-01,6,4,99,9
2025-11-01,6,5,72,14
2025-11-01,7,2,116,20
2025-11-01,7,3,144,13
2025-11-01,7,6,58,2
2025-11-01,7,7,93,13
2025-11-01,7,9,34,11
2025-11-01,8,2,110,9
2025-11-01,8,8,132,19
2025-11-01,9,1,68,13
2025-11-01,9,3,28,20
2025-11-01,10,1,87,13
2025-11-01,10,3,8,10
2025-11-01,10,5,100,2
2025-11-01,11,2,24,16
2025-11-01,11,5,10,17
2025-11-01,12,6,22,7
2025-11-01,13,8,10,15
2025-11-01,13,9,143,9
2025-11-01,14,7,0,20
2025-11-01,14,8,47,0
2025-11-01,15,2,127,17
2025-11-01,15,5,17,1
2025-11-01,15,7,8,6
2025-11-01,15,9,99,15
2025-11-01,15,10,65,1
2025-11-01,16,7,68,16
2025-11-01,17,6,109,3
2025-11-01,18,2,110,10
2025-11-01,19,9,149,7
2025-11-01,20,4,76,1
2025-11-01,20,6,14,10
2025-11-01,20,9,58,20
2025-11-01,21,3,10,10
2025-11-01,21,5,56,4
2025-11-01,21,10,21,15
2025-11-01,22,6,134,7
2025-11-01,22,7,68,13
2025-11-01,22,8,147,2
2025-11-01,22,10,48,10
2025-11-01,23,1,6,9
2025-11-01,24,8,133,8
2025-11-01,25,4,69,11
2025-11-01,25,6,98,7
2025-11-01,25,8,25,10
2025-11-01,25,9,136,2
2025-11-01,26,2,135,9
2025-11-01,26,3,100,5
2025-11-01,26,4,90,11
2025-11-01,26,5,60,16
2025-11-01,27,7,35,18
2025-11-01,27,8,51,4
2025-11-01,28,3,142,17
2025-11-01,28,6,81,13
2025-11-01,29,7,99,15
2025-11-01,30,2,51,6
2025-11-01,30,4,83,14
2025-11-01,30,7,97,10
2025-11-01,30,9,9,16
2025-12-01,1,2,137,12
2025-12-01,1,4,99,16
2025-12-01,1,10,42,13
2025-12-01,2,4,28,5
2025-12-01,2,9,51,14
2025-12-01,3,6,130,19
2025-12-01,4,3,13,13
2025-12-01,4,5,30,4
2025-12-01,4,7,64,0
2025-12-01,5,1,121,14
2025-12-01,5,2,20,19
2025-12-01,5,5,37,1
2025-12-01,5,6,9,4
2025-12-01,6,4,9,2
2025-12-01,6,6,97,2
2025-12-01,7,5,81,8
2025-12-01,7,7,127,16
2025-12-01,8,2,6,14
2025-12-01,8,10,129,17
2025-12-01,9,1,1,3
2025-12-01,9,4,86,15
2025-12-01,9,7,123,4
2025-12-01,9,9,105,1
2025-12-01,10,1,80,17
2025-12-01,10,3,90,2
2025-12-01,11,1,60,11
2025-12-01,11,6,6,15
2025-12-01,12,5,11,19
2025-12-01,12,8,79,0
2025-12-01,13,4,29,0
2025-12-01,13,6,26,6
2025-12-01,13,8,72,18
2025-12-01,14,1,33,0
2025-12-01,14,5,85,6
2025-12-01,15,8,7,2
2025-12-01,16,4,18,9
2025-12-01,17,2,19,18
2025-12-01,17,6,103,2
2025-12-01,17,9,35,18
2025-12-01,18,3,147,14
2025-12-01,18,10,140,1
2025-12-01,20,1,124,13
2025-12-01,20,7,108,19
2025-12-01,20,10,47,13
2025-12-01,21,1,147,15
2025-12-01,21,8,134,8
2025-12-01,22,2,19,20
2025-12-01,22,4,87,17
2025-12-01,22,7,84,13
2025-12-01,22,8,75,9
2025-12-01,22,9,77,18
2025-12-01,22,10,121,18
2025-12-01,23,3,73,15
2025-12-01,23,4,129,2
2025-12-01,23,6,33,19
2025-12-01,24,1,60,15
2025-12-01,24,2,135,1
2025-12-01,24,3,21,4
2025-12-01,24,6,98,7
2025-12-01,24,7,42,6
2025-12-01,25,1,136,7
2025-12-01,25,3,135,13
2025-12-01,25,6,136,20
2025-12-01,25,10,68,3
2025-12-01,26,1,149,12
2025-12-01,26,2,61,18
2025-12-01,26,6,25,16
2025-12-01,26,7,114,11
2025-12-01,27,3,144,5
2025-12-01,27,6,19,20
2025-12-01,27,8,82,8
2025-12-01,27,9,18,8
2025-12-01,28,1,85,1
2025-12-01,28,3,125,6
2025-12-01,29,2,0,1
2025-12-01,29,3,68,4
2025-12-01,29,6,17,17
2025-12-01,29,7,98,15
2025-12-01,29,10,23,11
2025-12-01,30,4,51,5
2025-12-01,30,9,49,0
