item_id,order_id,product_id,quantity,unit_price,discount_amount
66,22,34,2,329.99,82.5
67,22,25,2,69.99,17.5
68,22,21,2,449.99,135.0
69,22,12,3,59.99,18.0
70,23,40,1,54.99,8.25
71,23,31,3,189.99,28.5
72,23,13,1,64.99,9.75
73,24,14,2,79.99,12.0
74,24,32,3,199.99,60.0
75,24,21,2,449.99,67.5
76,25,37,3,219.99,55.0
77,26,26,1,44.99,6.75
78,26,23,3,89.99,9.0
79,26,10,2,179.99,36.0
80,26,19,3,159.99,24.0
81,27,14,3,79.99,24.0
82,27,13,2,64.99,7.8
83,27,35,1,19.99,5.0
84,27,18,3,64.99,16.25
85,28,16,3,74.99,0.0
86,28,4,3,699.99,0.0
87,29,15,1,69.99,14.0
88,29,4,2,699.99,210.0
89,30,7,1,39.99,8.0
90,30,9,3,109.99,22.0
91,30,1,2,999.99,300.0
92,30,36,1,229.99,34.5
93,31,19,3,159.99,40.0
94,31,4,1,699.99,175.0
95,31,6,3,499.99,150.0
96,32,12,2,59.99,7.2
97,33,26,2,44.99,5.4
98,34,3,3,1399.99,350.0
99,34,1,1,999.99,150.0
100,34,20,2,349.99,70.0
101,35,9,1,109.99,0.0
102,35,33,1,149.99,0.0
103,35,30,2,14.99,0.0
104,35,18,1,64.99,0.0
105,36,17,2,129.99,32.5
106,36,12,3,59.99,7.2
107,36,1,1,999.99,250.0
108,36,22,3,189.99,38.0
109,37,33,3,149.99,15.0
110,37,21,1,449.99,54.0
111,37,6,2,499.99,75.0
112,37,26,1,44.99,4.5
113,38,25,2,69.99,0.0
114,38,16,2,74.99,0.0
115,38,29,2,169.99,0.0
116,39,17,3,129.99,19.5
117,40,4,2,699.99,0.0
118,40,8,2,49.99,0.0
119,41,26,3,44.99,0.0
120,41,33,2,149.99,0.0
121,42,19,2,159.99,40.0
122,43,15,2,69.99,8.4
123,43,9,2,109.99,33.0
124,44,27,3,29.99,0.0
125,44,36,3,229.99,0.0
126,44,31,1,189.99,0.0
127,45,39,3,39.99,8.0
128,45,6,3,499.99,150.0
129,46,5,1,549.99,137.5
130,46,37,3,219.99,26.4
131,46,8,3,49.99,12.5
132,47,11,3,49.99,0.0
133,47,21,2,449.99,0.0
134,48,14,3,79.99,20.0
135,49,6,2,499.99,60.0
136,49,33,3,149.99,30.0
137,49,29,2,169.99,42.5
138,49,4,1,699.99,175.0
139,50,20,1,349.99,105.0
140,50,2,1,749.99,187.5
141,50,26,1,44.99,4.5
142,50,17,2,129.99,19.5
143,51,35,1,19.99,0.0
144,52,31,1,189.99,28.5
145,53,12,2,59.99,12.0
146,53,9,2,109.99,22.0
147,53,27,1,29.99,9.0
148,53,24,3,149.99,37.5
149,54,23,1,89.99,22.5
150,54,8,2,49.99,12.5
151,55,15,1,69.99,10.5
152,55,1,2,999.99,300.0
153,56,35,2,19.99,3.0
154,56,25,1,69.99,10.5
155,56,15,1,69.99,21.0
156,56,16,1,74.99,7.5
157,57,40,1,54.99,5.5
158,57,2,3,749.99,75.0
159,57,16,2,74.99,18.75
160,57,14,3,79.99,24.0
161,58,16,3,74.99,7.5
162,59,29,1,169.99,20.4
163,59,15,3,69.99,10.5
164,59,35,1,19.99,6.0
165,59,14,3,79.99,12.0
166,60,16,3,74.99,18.75
167,60,20,1,349.99,70.0
168,60,10,2,179.99,27.0
169,61,36,3,229.99,69.0
170,62,28,2,34.99,3.5
171,62,36,2,229.99,69.0
172,63,34,2,329.99,66.0
173,63,21,1,449.99,112.5
174,63,27,2,29.99,3.6
175,63,10,1,179.99,27.0
176,64,30,3,14.99,0.0
177,64,4,2,699.99,0.0
178,65,36,1,229.99,34.5
179,65,34,1,329.99,49.5
180,65,9,3,109.99,11.0
181,65,25,2,69.99,10.5
182,66,35,3,19.99,0.0
183,67,4,2,699.99,210.0
184,67,18,3,64.99,16.25
185,68,5,1,549.99,137.5
186,69,31,2,189.99,28.5
187,69,14,1,79.99,9.6
188,70,8,1,49.99,15.0
189,70,31,3,189.99,57.0
190,71,26,3,44.99,6.75
191,71,16,2,74.99,15.0
192,72,35,2,19.99,5.0
193,72,23,2,89.99,18.0
194,72,20,1,349.99,105.0
195,72,17,2,129.99,19.5
196,73,24,2,149.99,0.0
197,73,21,1,449.99,0.0
198,74,10,2,179.99,45.0
199,74,2,3,749.99,187.5
200,75,19,1,159.99,32.0
201,75,10,3,179.99,21.6
202,75,13,2,64.99,16.25
203,75,22,3,189.99,57.0
204,76,17,1,129.99,39.0
205,76,32,2,199.99,24.0
206,76,30,1,14.99,4.5
207,77,12,1,59.99,6.0
208,77,35,3,19.99,2.0
209,77,4,1,699.99,140.0
210,77,34,1,329.99,99.0
211,78,5,1,549.99,66.0
212,78,10,3,179.99,36.0
213,79,4,3,699.99,0.0
214,79,40,2,54.99,0.0
215,79,31,1,189.99,0.0
216,80,35,3,19.99,0.0
217,81,1,3,999.99,0.0
218,81,2,2,749.99,0.0
219,81,34,1,329.99,0.0
220,81,18,3,64.99,0.0
221,82,12,1,59.99,0.0
222,82,7,1,39.99,0.0
223,82,34,3,329.99,0.0
224,82,10,3,179.99,0.0
225,83,23,1,89.99,13.5
226,83,18,2,64.99,13.0
227,83,26,3,44.99,5.4
228,84,20,3,349.99,105.0
229,84,6,1,499.99,50.0
230,85,25,3,69.99,7.0
231,85,36,3,229.99,27.6
232,85,31,1,189.99,38.0
233,85,4,2,699.99,210.0
234,86,37,1,219.99,26.4
235,86,7,1,39.99,12.0
236,86,34,3,329.99,66.0
237,87,3,3,1399.99,350.0
238,87,5,3,549.99,55.0
239,87,18,1,64.99,9.75
240,88,14,3,79.99,9.6
241,89,5,1,549.99,137.5
242,89,20,2,349.99,105.0
243,89,11,3,49.99,7.5
244,89,37,2,219.99,66.0
245,90,6,3,499.99,75.0
246,90,33,1,149.99,15.0
247,91,15,3,69.99,0.0
248,91,5,3,549.99,0.0
249,91,22,2,189.99,0.0
250,91,39,2,39.99,0.0
251,92,18,2,64.99,0.0
252,93,15,2,69.99,8.4
253,93,23,3,89.99,22.5
254,93,36,3,229.99,46.0
255,93,25,1,69.99,17.5
256,94,16,2,74.99,9.0
257,94,5,2,549.99,165.0
258,94,6,3,499.99,60.0
259,95,21,1,449.99,0.0
260,95,24,2,149.99,0.0
261,95,7,2,39.99,0.0
262,95,6,2,499.99,0.0
263,96,7,1,39.99,0.0
264,96,9,2,109.99,0.0
265,96,6,2,499.99,0.0
266,97,7,3,39.99,0.0
267,97,2,1,749.99,0.0
268,97,6,3,499.99,0.0
269,97,23,3,89.99,0.0
270,98,25,2,69.99,14.0
271,98,1,1,999.99,300.0
272,98,19,3,159.99,19.2
273,99,25,1,69.99,0.0
274,99,11,2,49.99,0.0
275,100,18,1,64.99,7.8
276,100,32,2,199.99,30.0
277,100,10,2,179.99,27.0
278,101,5,3,549.99,165.0
279,101,24,2,149.99,37.5
280,101,17,3,129.99,15.6
281,101,16,2,74.99,7.5
282,102,20,2,349.99,52.5
283,102,1,3,999.99,200.0
284,103,29,3,169.99,42.5
285,103,22,1,189.99,28.5
286,103,28,2,34.99,8.75
287,104,31,1,189.99,0.0
288,104,21,2,449.99,0.0
289,105,19,1,159.99,24.0
290,105,32,2,199.99,30.0
291,105,37,2,219.99,33.0
292,106,37,1,219.99,0.0
293,107,36,3,229.99,0.0
294,107,2,2,749.99,0.0
295,108,29,3,169.99,17.0
296,108,19,2,159.99,48.0
297,109,9,3,109.99,13.2
298,109,20,3,349.99,70.0
299,109,16,2,74.99,7.5
300,109,17,2,129.99,32.5
301,110,38,3,49.99,10.0
302,110,26,3,44.99,4.5
303,110,35,2,19.99,6.0
304,110,33,3,149.99,37.5
305,111,7,1,39.99,12.0
306,112,11,3,49.99,15.0
307,112,40,3,54.99,16.5
308,112,3,2,1399.99,210.0
309,113,7,3,39.99,12.0
310,113,1,3,999.99,250.0
311,113,17,3,129.99,39.0
312,113,15,3,69.99,8.4
313,114,24,3,149.99,37.5
314,114,26,1,44.99,6.75
315,114,30,1,14.99,3.0
316,114,38,1,49.99,7.5
317,115,6,2,499.99,75.0
318,115,8,2,49.99,6.0
319,115,10,3,179.99,36.0
320,115,23,2,89.99,18.0
321,116,29,3,169.99,51.0
322,117,21,3,449.99,45.0
323,117,5,1,549.99,82.5
324,117,20,3,349.99,35.0
325,117,3,3,1399.99,168.0
326,118,34,3,329.99,39.6
327,118,12,2,59.99,15.0
328,119,30,1,14.99,4.5
329,119,15,3,69.99,14.0
330,119,26,2,44.99,4.5
331,119,12,3,59.99,15.0
332,120,29,2,169.99,34.0
333,120,38,1,49.99,15.0
334,121,14,3,79.99,8.0
335,121,18,3,64.99,6.5
336,122,24,1,149.99,30.0
337,122,21,1,449.99,67.5
338,123,34,3,329.99,66.0
339,123,21,3,449.99,45.0
340,123,39,2,39.99,6.0
341,123,25,2,69.99,17.5
342,124,20,3,349.99,35.0
343,124,40,3,54.99,6.6
344,125,8,1,49.99,0.0
345,125,16,1,74.99,0.0
346,125,20,2,349.99,0.0
347,126,33,2,149.99,37.5
348,126,25,1,69.99,17.5
349,127,28,3,34.99,10.5
350,127,12,1,59.99,15.0
351,127,32,1,199.99,40.0
352,127,35,2,19.99,2.4
353,128,21,3,449.99,45.0
354,128,29,2,169.99,17.0
355,129,9,3,109.99,0.0
356,129,13,3,64.99,0.0
357,129,25,2,69.99,0.0
358,129,36,2,229.99,0.0
359,130,27,1,29.99,7.5
360,130,29,1,169.99,20.4
361,130,32,2,199.99,20.0
362,130,11,2,49.99,6.0
363,131,11,3,49.99,10.0
364,131,30,3,14.99,3.75
365,131,37,1,219.99,55.0
366,132,18,3,64.99,0.0
367,133,35,3,19.99,2.4
368,133,3,2,1399.99,140.0
369,133,29,3,169.99,51.0
370,134,20,2,349.99,52.5
371,134,3,2,1399.99,140.0
372,135,8,3,49.99,0.0
373,135,16,2,74.99,0.0
374,135,14,3,79.99,0.0
375,135,38,3,49.99,0.0
376,136,11,1,49.99,5.0
377,136,40,3,54.99,8.25
378,136,9,3,109.99,16.5
379,136,14,3,79.99,20.0
380,137,21,2,449.99,112.5
381,137,19,2,159.99,40.0
382,138,9,2,109.99,11.0
383,139,9,3,109.99,16.5
384,139,16,1,74.99,22.5
385,139,10,2,179.99,36.0
386,140,37,3,219.99,44.0
387,140,18,2,64.99,13.0
388,141,6,2,499.99,125.0
389,142,24,2,149.99,37.5
390,142,30,1,14.99,4.5
391,142,32,1,199.99,60.0
392,143,23,1,89.99,18.0
393,143,5,1,549.99,110.0
394,143,35,2,19.99,3.0
395,143,26,2,44.99,6.75
396,144,37,2,219.99,66.0
397,144,32,1,199.99,20.0
398,145,30,1,14.99,1.5
399,146,29,1,169.99,34.0
400,146,30,1,14.99,4.5
401,147,20,2,349.99,35.0
402,147,11,3,49.99,7.5
403,148,6,1,499.99,100.0
404,148,24,3,149.99,22.5
405,148,11,3,49.99,15.0
406,149,28,3,34.99,0.0
407,149,6,1,499.99,0.0
408,150,14,2,79.99,8.0
409,151,38,3,49.99,15.0
410,151,15,2,69.99,7.0
411,152,22,1,189.99,38.0
412,153,31,1,189.99,38.0
413,153,5,1,549.99,165.0
414,154,7,2,39.99,6.0
415,155,9,1,109.99,27.5
416,155,25,3,69.99,7.0
417,155,10,3,179.99,54.0
418,156,29,3,169.99,20.4
419,156,23,3,89.99,27.0
420,157,27,3,29.99,6.0
421,157,40,1,54.99,5.5
422,158,9,1,109.99,27.5
423,159,23,1,89.99,13.5
424,159,28,3,34.99,3.5
425,159,21,1,449.99,112.5
426,159,9,3,109.99,27.5
427,160,2,3,749.99,0.0
428,160,20,3,349.99,0.0
429,160,14,3,79.99,0.0
430,161,26,3,44.99,4.5
431,161,19,1,159.99,32.0
432,162,8,1,49.99,12.5
433,162,16,1,74.99,11.25
434,162,32,2,199.99,24.0
435,162,39,2,39.99,10.0
436,163,24,1,149.99,15.0
437,163,35,3,19.99,2.0
438,163,12,1,59.99,9.0
439,163,31,1,189.99,19.0
440,164,26,3,44.99,6.75
441,165,28,3,34.99,0.0
442,165,26,3,44.99,0.0
443,165,6,1,499.99,0.0
444,165,35,2,19.99,0.0
445,166,20,1,349.99,87.5
446,167,10,2,179.99,36.0
447,167,35,3,19.99,6.0
448,168,20,3,349.99,70.0
449,169,4,1,699.99,0.0
450,169,16,2,74.99,0.0
451,170,30,3,14.99,0.0
452,171,20,3,349.99,105.0
453,172,8,3,49.99,0.0
454,172,1,1,999.99,0.0
455,173,11,2,49.99,7.5
456,174,11,3,49.99,7.5
457,174,24,3,149.99,15.0
458,174,9,1,109.99,16.5
459,175,18,3,64.99,16.25
460,175,34,3,329.99,33.0
461,175,5,2,549.99,110.0
462,175,17,3,129.99,19.5
463,176,32,3,199.99,0.0
464,177,24,2,149.99,15.0
465,177,11,3,49.99,15.0
466,178,15,3,69.99,17.5
467,179,3,1,1399.99,168.0
468,180,31,2,189.99,38.0
469,181,12,3,59.99,0.0
470,181,3,3,1399.99,0.0
471,182,15,3,69.99,10.5
472,182,21,2,449.99,45.0
473,182,16,3,74.99,11.25
474,182,27,1,29.99,7.5
475,183,12,1,59.99,15.0
476,184,26,1,44.99,0.0
477,185,19,3,159.99,32.0
478,185,20,1,349.99,52.5
479,185,21,1,449.99,67.5
480,185,6,3,499.99,75.0
481,186,30,3,14.99,0.0
482,186,24,2,149.99,0.0
483,187,35,1,19.99,2.0
484,187,16,2,74.99,7.5
485,188,35,3,19.99,6.0
486,188,23,1,89.99,13.5
487,189,25,3,69.99,21.0
488,190,7,1,39.99,8.0
489,190,14,2,79.99,8.0
490,190,34,1,329.99,99.0
491,191,6,3,499.99,100.0
492,191,3,3,1399.99,210.0
493,191,15,2,69.99,21.0
494,192,38,1,49.99,12.5
495,193,26,3,44.99,11.25
496,193,5,1,549.99,110.0
497,194,16,2,74.99,11.25
498,194,19,2,159.99,48.0
499,195,21,1,449.99,45.0
500,195,29,1,169.99,20.4
501,195,18,3,64.99,6.5
502,196,7,2,39.99,8.0
503,196,11,2,49.99,10.0
504,197,35,2,19.99,2.4
505,198,20,1,349.99,42.0
506,198,30,3,14.99,2.25
507,198,17,3,129.99,39.0
508,198,8,3,49.99,5.0
509,199,21,1,449.99,135.0
510,199,10,1,179.99,27.0
511,200,33,1,149.99,15.0
512,200,4,2,699.99,140.0
513,200,20,3,349.99,105.0
514,200,17,3,129.99,15.6
